plot_no,area_in_marla,plot_type,is_park_facing,is_cornered,status,total_value,received_value,remaining_value,block,sector,short_sector,short_block,is_main_boulevard,length,width,price
1,17,RESIDENTIAL,FALSE,TRUE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
2,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
3,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
4,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
5,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
6,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
7,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
8,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
9,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
10,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
11,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
12,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
13,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
14,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
15,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
16,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
17,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
18,14,RESIDENTIAL,FALSE,TRUE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
19,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
20,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
21,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
22,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
23,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
24,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
25,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
26,14,RESIDENTIAL,FALSE,TRUE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
27,14,RESIDENTIAL,FALSE,TRUE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
28,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
29,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
30,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
31,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
32,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
33,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
34,10.5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
35,14,RESIDENTIAL,FALSE,TRUE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
36,20,RESIDENTIAL,FALSE,TRUE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
37,5,RESIDENTIAL,FALSE,FALSE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
38,5,RESIDENTIAL,FALSE,TRUE,OPEN,,,,ABU BAKAR BLOCK,C,C,AB,FALSE,,,1999999
